sample_idx,atom_idx,element,mace_H,mace_OH,mace_CH3,mace_NH2,mace_H_norm,mace_OH_norm,mace_CH3_norm,mace_NH2_norm
79,2,Au,-2.6100998,-8.453415,-19.443886,-14.440941,1.5310988,0.87118757,1.0711256,1.412422
79,3,Au,-2.6100845,-8.453407,-19.441704,-14.432533,1.5311332,0.8711927,1.0767701,1.4217122
80,1,Pt,-3.535843,-8.881531,-20.308884,-15.485794,-0.54686236,0.58276355,-1.16648,0.25787273
81,3,Au,-2.61792,-8.467003,-19.445091,-14.442841,1.5135455,0.8620333,1.0680073,1.4103228
82,4,Au,-2.6519012,-8.481499,-19.488625,-14.45163,1.4372696,0.8522673,0.95539385,1.4006109
83,2,Pt,-3.4607773,-8.711929,-20.018326,-15.417862,-0.37836698,0.69702494,-0.41485512,0.33293685
83,3,Pt,-3.4607773,-8.711929,-20.041702,-15.412247,-0.37836698,0.69702494,-0.47532615,0.3391416
84,4,Pt,-3.4542007,-8.701279,-19.999115,-15.398636,-0.36360502,0.7042003,-0.36515993,0.3541814
84,2,Pt,-3.4542694,-8.70137,-20.035202,-15.405991,-0.36375913,0.7041387,-0.45851108,0.34605452
84,3,Pt,-3.4542694,-8.70137,-20.054413,-15.400955,-0.36375913,0.7041387,-0.50820625,0.35161856
85,1,Pt,-3.4712524,-8.723999,-20.02835,-15.437958,-0.40187997,0.68889356,-0.44078818,0.3107312
86,1,Re,-3.7850647,-10.806183,-19.704498,-16.250519,-1.1062759,-0.7138853,0.39696446,-0.5871381
86,3,Re,-3.7850647,-10.80603,-19.701782,-16.240875,-1.1062759,-0.71378255,0.40399045,-0.5764821
87,3,Re,-3.7836304,-10.791077,-19.70221,-16.238312,-1.1030563,-0.70370823,0.40288526,-0.5736495
87,2,Re,-3.7836304,-10.791077,-19.703003,-16.249908,-1.1030563,-0.70370823,0.4008327,-0.5864637
87,4,Re,-3.7836304,-10.791077,-19.700104,-16.231842,-1.1030563,-0.70370823,0.40833238,-0.56650054
88,1,Re,-3.7818909,-10.7812805,-19.70639,-16.246796,-1.0991518,-0.6971085,0.39206994,-0.5830241
88,2,Re,-3.7818604,-10.781311,-19.700775,-16.22934,-1.0990833,-0.6971291,0.40659562,-0.5637354
88,3,Re,-3.7818604,-10.781311,-19.702148,-16.223297,-1.0990833,-0.6971291,0.40304312,-0.5570585
89,1,Re,-3.7921753,-10.838684,-19.698456,-16.27118,-1.1222366,-0.7357816,0.41259533,-0.6099676
90,3,Re,-3.9360962,-10.693207,-20.039825,-16.32071,-1.4452875,-0.63777274,-0.47047108,-0.66469765
90,1,Re,-3.9360657,-10.692566,-20.047363,-16.335175,-1.4452189,-0.63734096,-0.48997024,-0.68068165
91,4,Re,-3.9297485,-10.685181,-20.017578,-16.314606,-1.4310392,-0.63236547,-0.41292098,-0.6579533
91,3,Re,-3.929596,-10.684265,-20.052643,-16.323914,-1.4306967,-0.6317487,-0.50362754,-0.6682384
91,2,Re,-3.929596,-10.684265,-20.04309,-16.33899,-1.4306967,-0.6317487,-0.47891808,-0.6848968
92,3,Re,-3.9301758,-10.676422,-20.031158,-16.312866,-1.4319983,-0.6264648,-0.44805104,-0.6560312
92,2,Re,-3.9301758,-10.676422,-20.015594,-16.321442,-1.4319983,-0.6264648,-0.40778965,-0.66550696
92,1,Re,-3.9305725,-10.683899,-20.055847,-16.338593,-1.4328887,-0.631502,-0.51191664,-0.68445843
