sample_idx,mace_H,mace_OH,mace_CH3,mace_NH2,mace_H_norm,mace_OH_norm,mace_CH3_norm,mace_NH2_norm
70,-3.0793864727020264,-7.783660888671875,-17.191680908203125,-14.356796264648438,0.036204049234850724,0.8700968948833152,0.0925343348883404,0.3959155250836154
71,-3.083317995071411,-7.800079345703125,-17.20282554626465,-14.365036010742188,0.028481145937588007,0.8607166825445416,0.08449314150921303,0.3902278329124143
72,-3.1114654541015625,-7.879852294921875,-17.255767822265625,-14.408447265625,-0.026810439288096583,0.8151407066085672,0.04629368838163501,0.36026212138080854
73,-3.111846923828125,-7.882232666015625,-17.256820678710938,-14.409332275390625,-0.02755978102706689,0.8137807501728342,0.045534020617596274,0.35965122111056846
74,-3.11614990234375,-6.982086181640625,-16.59405517578125,-13.571502685546875,-0.03601235584265194,1.328053506946935,0.5237393732411078,0.9379841872889191
75,-3.1448974609375,-8.85589599609375,-17.14715576171875,-14.732818603515625,-0.09248274929145418,0.2575062619412882,0.12466057453276094,0.13635663957452573
76,-3.328643798828125,-8.050048828125,-16.949798583984375,-13.98760986328125,-0.4534256781186711,0.7179038214536595,0.2670597464179341,0.6507557326432641
77,-3.483245849609375,-11.67767333984375,-16.239044189453125,-15.657440185546875,-0.7571188980885567,-1.3546349159255564,0.7798905355327762,-0.5018866841404763
78,-3.29132080078125,-8.494720458984375,-17.516006469726562,-14.537338256835938,-0.3801100823778164,0.4638534980553878,-0.14147636546880793,0.27129186995463156
79,-2.59118390083313,-7.772796630859375,-16.289690017700195,-13.353442192077637,0.9952069233831796,0.8763038755387118,0.7433480389050219,1.0885059324303128
80,-3.297943115234375,-8.506263732910156,-17.539749145507812,-14.55450439453125,-0.3931186549663409,0.45725858110902884,-0.1586074240317683,0.25944251126462925
81,-2.5876617431640625,-7.782508850097656,-16.298301696777344,-13.377273559570312,1.0021256893268098,0.8707550789275321,0.7371344520306833,1.0720557310800647
82,-2.619232177734375,-7.7975616455078125,-16.32642364501953,-13.346977233886719,0.9401101670096274,0.862155098005413,0.7168436159564314,1.0929685325725087
83,-3.2366294860839844,-8.335525512695312,-17.238998413085938,-14.560279846191406,-0.27267695726164365,0.5548049435297605,0.05839332421755625,0.2554558603631485
84,-3.2305984497070312,-8.31769847869873,-17.232101440429688,-14.546650886535645,-0.2608298643685231,0.5649899057305443,0.06336969855589693,0.2648635928653053
85,-3.24566650390625,-8.352264404296875,-17.273117065429688,-14.594818115234375,-0.2904288630578502,0.5452416601323304,0.033775684791605476,0.23161495067886395
86,-3.6968994140625,-10.762847900390625,-17.82379150390625,-15.821136474609375,-1.1768102192510457,-0.8319757611311024,-0.3635525751561304,-0.6148821686083379
87,-3.695892333984375,-10.74671459197998,-17.811309814453125,-15.80772876739502,-1.174831957060164,-0.8227584602403593,-0.35454665876506253,-0.6056271611737412
88,-3.6943359375,-10.73613452911377,-17.80765724182129,-15.799824714660645,-1.1717746427651652,-0.8167138461786518,-0.35191121715612383,-0.6001711897947001
89,-3.702880859375,-10.7982177734375,-17.851806640625,-15.85693359375,-1.1885598977181,-0.8521833189389808,-0.3837663434862045,-0.6395920312632226
90,-3.853912353515625,-10.609359741210938,-18.08038330078125,-15.953994750976562,-1.4852392790112234,-0.7442847240347049,-0.548691316026787,-0.7065909384873155
91,-3.8487040996551514,-10.5986328125,-18.05495262145996,-15.939839363098145,-1.4750084225813445,-0.7381562024044467,-0.5303423118638733,-0.6968198256519986
92,-3.8490498065948486,-10.593231201171875,-18.060476303100586,-15.941314697265625,-1.4756875135322864,-0.735070147415668,-0.5343278152056417,-0.6978382122016338
93,-3.879547119140625,-10.77691650390625,-18.11834716796875,-16.045989990234375,-1.535595043870028,-0.8400134523730627,-0.5760833942431401,-0.7700929683024476
94,-2.8471527099609375,-8.542251586914062,-16.911911010742188,-14.546157836914062,0.49239346480964896,0.4366979576880274,0.2943967762455888,0.2652039327787904
95,-2.839869260787964,-8.522456169128418,-16.900609970092773,-14.531743049621582,0.5067007402995264,0.4480074992491289,0.302550818821548,0.2751541025898673
96,-2.8439228534698486,-8.533233642578125,-16.9083251953125,-14.541300773620605,0.49873804764579316,0.441850100338785,0.29698405051441634,0.26855664299035603
